Recipe,Ingredients,Instructions,Cooking time,Health rating
Maccaroni and Mince,"500 g lean mince, 3 large onions, grated, 2 ripe tomatoes, 500 g cheese, grated, 250 g butter, salt and pepper to taste, 500 ml milk, 5 eggs, parsley to taste, oregano to taste","1. Minced meat:
Brown the onions with a little butter. When the onions are soft and caramelized, remove them to the side.
Add the mince, fry a bit and stir with the onions. Fry the mince until completely brown.
Add the tomatoes. Stew for about 45 minutes on low heat.
Cool and add one egg and one cup of grated cheese.

2. Macaroni:
Bring water to boil, add salt to taste.
Add 500 g macaroni in boiling water for 10 – 15 minutes.
Test the macaroni that it is about just soft, drain in a colander under cold water.
When cooled, add plenty of grated cheese, 1 – 2 cups grated cheese.

3.Topping:
Melt 250 g butter in a saucepan and add 8 tablespoons (not heaped) flour and blend well without browning.
Add 500 ml milk gradually and stir until almost a ball or until it comes away from the saucepan.
Cool slightly, add 4 eggs one at a time and beat well when adding the egg.
Add salt and pepper to taste and add the oregano or sprinkle the oregano herbs on top.

4. Final steps:
Start layering the dish with half the macaroni and mince. Continue until you have used up all.
Spread the topping evenly on top.
Bake for 20 to 30 minutes at 180°C.",1h10min,3
Pap and chicken,"500 g chicken, cut into chunks, 2 tbsp oil, 1 onion, chopped, 2 garlic cloves, crushed, 1 tsp paprika, 1 tsp curry powder, 1 tsp salt, 1/4 tsp black pepper, 1/4 cup tomato paste, 2 cups chicken stock, 2 cups maize meal, 4 cups water, 2 tbsp butter, Parsley chopped for garnish","1.Chicken:
Heat oil in a large skillet over medium-high heat. Add chicken and brown on all sides, about 15 minutes. Transfer to a plate and set aside.
In the same skillet, add onion and garlic and cook until soft, about 10 minutes. Add paprika, curry powder, salt, pepper, tomato paste and chicken stock and bring to a boil.
Return chicken to the skillet and simmer until cooked through and sauce is thickened, about 20 minutes.
2. Pap:
In a large pot, bring water to a boil. Gradually whisk in maize meal, stirring constantly to prevent lumps. Reduce heat and cook, stirring occasionally, until thick and smooth, about 30 minutes. Stir in butter and season with salt to taste.
3. To serve:
Spoon pap onto a large platter and top with chicken and sauce. Sprinkle with parsley and enjoy!",40min,3
Rice and Mutton,"500 g mutton, cut into pieces, 100 ml oil, 1 bay leaf, 3 cinnamon sticks, 1 teaspoon of fennel seeds, 1 large onion, chopped or grated, 1 sprig curry leaves, 2 teaspoons of ginger and garlic paste, 2 teaspoons salt, 1/4 teaspoon of turmeric, 4 tablespoons of masala, 3 potatoes, cut into cubes, 3 cups rice soaked for an hour then washed and steamed with a quarter teaspoon of turmeric and salt for 10 minutes, 3 sprigs of fresh coriander, chopped","1.	Heat oil in a large pot over medium-high heat. Add bay leaf, cinnamon sticks, fennel seeds, onion, turmeric and masala and fry for a few minutes until onion is soft.
2.	Add ginger and garlic paste, salt and mutton and cook until mutton is browned on all sides, stirring occasionally.
3.	Add enough water to cover the mutton and bring to a boil. Reduce the heat and simmer until mutton is tender, about an hour.
4.	Add potatoes and curry leaves and cook until potatoes are soft, about 20 minutes.
5.	Preheat the oven to 180°C and grease a baking dish.
6.	Layer half of the rice in the bottom of the dish. Spoon the mutton and gravy over the rice. Sprinkle half of the coriander over the mutton. Cover with the remaining rice and coriander.
7.	Cover the dish with foil and bake for 20 minutes or until heated through.
8.	Enjoy your meal!",45min,4
Old Fashion Chicken and Dumpling,"Soup: 7 pounds cut up chicken pieces, 4 cups chicken stock, 2 onions chopped, 3 stalks celery chopped, 2 teaspoons salt

Dumplings: 1 large egg, ¼ cup milk, 1 ½ cups all-purpose flour divided, 1 ½ teaspoons baking powder, 1 teaspoon salt, 2 tablespoons cold unsalted butter, 1 tablespoon chopped fresh parsley

Gravy: 1 cup water, ½ teaspoon ground black pepper, 1 tablespoon chopped fresh parsley","1.	Start the soup: Place chicken pieces in a large pot; add chicken stock, onions, celery, and salt. Bring to a boil over medium-low heat, then simmer, partially covered, until chicken is tender, about 15 to 20 minutes.
2.	Meanwhile, make the dumplings: Beat egg and milk together in a large mixing bowl. Mix in 1 cup flour, baking powder, and salt. Grate cold butter into the wet flour mixture; stir in parsley.
3.	Dollop 6 large spoonfuls of dumpling mixture onto the top of the simmering chicken. Cover the pot and steam dumplings until fluffy, 10 minutes more.
4.	Remove dumplings and chicken pieces to a large dish; shred chicken and discard bones. Cover and set aside, keeping warm.
5.	For the gravy: Strain stock left in the pot, pressing the vegetables to release more flavor; return stock to the pot. Whisk water with remaining 1/2 cup flour until smooth; stir into the strained stock. Season with pepper and bring to a boil, stirring constantly, to thicken.
6.	Stir in chicken and top with dumplings. Serve with parsley.
",1h,2.5
Uphuthu namasi (dry pap with sour milk),"1/4 cups water, 1 table salt, 300 g maize meal, 3 cups amasi (for serving), cream (for serving), sugar (for serving)","1. Bring the water to the boil in a saucepan. Add the salt and half the maize meal and reduce the heat to low.
2. Mix with the back of a wooden spoon, then gradually add the remaining maize meal until the mixture resembles crumbs. Cook for 20 minutes, stirring every 5 minutes.
3. Cool and serve with amasi, a splash of cream and a tablespoon of sugar.",30min,2
Mutton Briyani,"¾ cup olive oil, a few strands of saffron, 2 onions (finely sliced), 1 kg mutton pieces, 1 heaped t ground garlic, ginger, and red chili paste, 1½ cups plain yogurt, 2 T grated tomato, 1 t cumin, ¼ t turmeric, 2 T biryani masala, 1 t salt, 1 t ground cumin, 1 t ground coriander, 1 T freshly squeezed lemon juice, 3 green chilies (slit), 1 sprig mint, 3 cardamom pods (cracked), 2 cinnamon sticks, 380 g brown lentils, 370 g basmati rice, 6 potatoes, 150 g butter (melted), 4 boiled free-range eggs (shelled).","1. Heat the oil in a large saucepan over a low heat, then add the saffron. Allow it to crisp before removing it from the heat, then steep in a tablespoon of hot water.

2. Braise the onions over a high heat until slightly golden, then drain on kitchen paper. Set aside a pinch of fried onion to garnish the dish later. Roughly crush the remainder.

3. Place the meat in a separate bowl, then add the saffron, garlic, ginger and red chilli, ensuring it coats the meat. Add the yoghurt, tomato, spices, fried onions, lemon juice, green chillies, mint, 1 cardamom pod and 1 cinnamon stick. Set aside to marinate for at least 1 hour.

4. Meanwhile, boil the lentils in slightly salted water until cooked (be careful not to overcook them, they should still retain their shape). Once cooked, drain completely in a colander.

5. In a separate saucepan, boil the rice with the remaining 2 cardamom pods and cinnamon stick until slightly underdone.

6. Peel and cut the potatoes in half and fry until golden. Set aside and allow to drain on kitchen paper. Preheat the oven to 180°C.

7. Grease a large, flat-based, ovenproof saucepan with some of the butter. To assemble, sprinkle a handful of the cooked brown lentils into the saucepan, then top with a layer of meat. Add the potatoes and boiled eggs, then sprinkle over the remaining lentils.

8. Cover with a layer of rice, then pour over the remaining melted butter and cover tightly with foil. Place in the oven and cook for 2 hours.

9. Once cooked, remove from the oven, sprinkle with the remaining fried onions and serve immediately.",1h30min,2.5
Beens and Greens with Pasta,"400 g cannellini beans (2 x), 180 g kale (stalks removed), 200 g Swiss chard (stalks removed), 1 onion (thinly sliced), olive oil (for frying), 3 cloves garlic (crushed), 3/4 cup vegetable stock, 1 lemon (zested and juiced), sea salt and freshly ground black pepper (to taste), 250 g penne (cooked al dente), 1 cup reserved pasta water, 100 g Gorgonzola (torn, for serving).","1. Drain the beans and rinse, then set aside. Wash the greens, then place the wet leaves in a large, heavy saucepan. Soften for about 4 minutes, covered, over a medium heat, then drain. Set aside.
2. In a wide pan, gently soften the onion in ¼ cup olive oil. Stir in the garlic.
3. Add the beans and stir until coated with oil. Braise for about 5 minutes, stirring occasionally. Stir in ½ cup stock and bubble for 1 minute.
4. Mix the greens with the braised beans and stir in the remaining stock. Moisten with 1–2 T olive oil. Add the lemon zest and juice and season to taste.
5. Mix with the pasta, loosening with pasta water. Check the seasoning and top with the Gorgonzola.
",35min,5
Potato hand pies,"butter (for greasing), 540 g cake flour, 10 g sachet instant dry yeast, 2 t salt, 1 T sugar, 2 cups warm water, oil (for deep-frying), 8 medium potatoes (For the filling), 1 onion (finely chopped, For the filling), 2 t ginger-and-garlic paste (For the filling), 1 T garam masala (For the filling), 2 green chillies (For the filling), 400 g can chopped tomatoes (For the filling), 2 t sugar (For the filling), 1-2 cups vegetable stock (For the filling), sea salt and freshly ground black pepper (For the filling, to taste), 1 t dried mixed herbs (For the filling).","1. Grease an enamel dish or bowl with butter. Sift the dry ingredients into the bowl and mix. Add the water and knead until the dough is combined and does not stick to your hands. Cover and allow to rise until doubled in size.
2. Knead for an additional 20–25 minutes, then allow to rise again.
3. Once the dough has risen again, cut and roll the dough into 15 x 10 cm pieces and set aside.
4. To make the filling, peel the potatoes and chop into bite-sized chunks. Place in a large saucepan, top with water and season with salt. Parboil for 10 minutes, then drain and set aside.
5. Saute? the onion, garlic and ginger in a large pan until soft and fragrant. Add the spices and cook for a further minute. Add the tomatoes and sugar and cook for 2 minutes. Add the potatoes and stir to coat in the sauce.
6. Pour in the stock, then season to taste. Reduce the heat and simmer for 25–30 minutes, or until the potatoes are cooked through and the sauce has thickened. Add the herbs and mash the potatoes.
7. Heat the oil in a large saucepan. While the oil is heating up, roll out each piece of dough to a thickness of 1/2 cm. Place 1 T filling onto one half of each piece, leaving enough space to fold over the other side. Fold and seal the edges with a fork.
8 Once the oil is hot enough, cook the pies in batches for 5–7 minutes, or until golden. Drain on kitchen paper.
",2hr,3
Spicy Rice,"3 T canola oil, 1 onion (diced or thinly sliced), 2 sprigs curry leaves, 2 cloves garlic (finely diced), 1 t ground turmeric (or 2 t freshly grated), 1 green chili (finely diced), 250 g button mushrooms (halved and quartered), 1 T garam masala, sea salt and freshly ground black pepper (to taste), 400 g basmati rice (rinsed), lemons (for serving), fresh coriander (to garnish).","1. Heat the oil in a large saucepan over a medium heat. Add the onion and curry leaves and cook until translucent.

2. Stir in the garlic, turmeric, chilli and mushrooms and cook for 1 minute, then add the garam masala, salt and pepper.

3. Cook for 1 minute, then add the rice and stir to combine. Add enough water to cover the ingredients by 3 cm.

4. Bring to a simmer, then reduce the heat to low and cover with a lid. Cook for 20 minutes, or until the rice is tender.

5. Turn off the heat and keep the lid on while the rice cools slightly. Check the seasoning, then serve with your favourite protein, lemon wedges and coriander.",50min,3
Chicken and baked bean curry,"1 T olive oil, 2 onions finely chopped, 4 curry leaves, 1 bay leaf, 2 cinnamon sticks, 3 cardamom pods, 1 t fennel seeds, 1 t crushed chillies, 2 - 3 t grated garlic and ginger mixture, 1 t turmeric, 3 T masala (or to your taste), 8 pieces of chicken, 1 t salt, 1 t brown vinegar, 2 x 410 g cans baked beans, ¼ cup freshly chopped coriander.","1. Heat the oil in a large pot on medium heat, then add the onions, curry leaves, bay leaf, cinnamon sticks, cardamom pods, fennel seeds and chilli flakes and fry until the onions are lightly golden brown. Add the garlic and ginger and stir. Add a little water to the onion mixture and let it cook for about 10 – 15 minutes.

2. Add the turmeric and masala and stir. Add a little water and let it braise for about 8 minutes, as you want the spices to cook through.

3. Add the chicken and season with salt. Add 250 ml (1 cup) water and let it cook for 10 – 15 minutes.

4. Add the vinegar and baked beans and another 250 ml (1 cup) water. Cook on low-medium heat for about 20 – 25 minutes. Add the coriander and stir. Serve with white rice.",50min,3.3
